E sigma
106514 0.22885
106517 0.23141
106520 0.23591
106523 0.2409
106528 0.25193
106533 0.26188
106536 0.26603
106538 0.26833
106540 0.2687
106542 0.26777
106545 0.26525
106548 0.25983
106556 0.24235
106560 0.2355
106563 0.23171
106565 0.22898
106569 0.22679
106575 0.22505
106583 0.22441
107124 0.21689
110225 0.17598
110237 0.17643
110244 0.17753
110254 0.18069
110261 0.18274
110265 0.18311
110271 0.18241
110285 0.17748
110291 0.17614
110298 0.17524
110327 0.17449
113805 0.1276
117259 0.080414
118353 0.065921
119010 0.057574
119503 0.051596
119897 0.04701
120243 0.043211
120557 0.039981
120831 0.037396
120995 0.036022
121140 0.035007
121214 0.034634
121290 0.034461
121333 0.034537
121365 0.03474
121392 0.035056
121416 0.035511
121439 0.036216
121457 0.036997
121469 0.03769
121481 0.038574
121491 0.039518
121499 0.040465
121508 0.041618
121516 0.043034
121522 0.044296
121528 0.045738
121534 0.047451
121539 0.04951
121543 0.051121
121547 0.052967
121551 0.055097
121555 0.057714
121558 0.059985
121561 0.062576
121564 0.065555
121567 0.069005
121570 0.071625
121572 0.074547
121574 0.077829
121576 0.081541
121578 0.085781
121579 0.089384
121581 0.093429
121582 0.098016
121584 0.10327
121585 0.10809
121586 0.11355
121588 0.11983
121588 0.12456
121589 0.12981
121590 0.13564
121591 0.14216
121592 0.14949
121593 0.15774
121593 0.16707
121594 0.17765
121595 0.18653
121595 0.19629
121596 0.2071
121597 0.219
121597 0.23333
121598 0.24547
121598 0.25867
121599 0.27302
121599 0.28862
121600 0.3056
121600 0.32404
121601 0.34407
121601 0.36584
121602 0.38949
121602 0.41514
121603 0.44294
121603 0.47306
121604 0.50568
121604 0.54093
121605 0.579
121605 0.61747
121606 0.67609
121607 0.74074
121608 0.81174
121608 0.88967
121609 0.97475
121610 1.068
121610 1.1693
121611 1.2793
121612 1.3984
121612 1.5271
121613 1.6429
121613 1.7922
121614 1.9521
121615 2.123
121616 2.3051
121616 2.4983
121617 2.7027
121618 3.0295
121619 3.382
121620 3.7567
121621 4.1523
121622 4.7351
121624 5.6081
121627 6.8084
121629 7.496
121630 8.0407
121632 8.4664
