E sigma
360.371 4.3158
360.396 4.5234
360.421 4.7554
360.446 5.013
360.471 5.2972
360.496 5.6089
360.521 5.9488
360.545 6.3043
360.58 6.8664
360.615 7.4848
360.65 8.1584
360.685 8.8846
360.72 9.6597
360.761 10.629
360.819 12.086
360.973 16.084
361.024 17.349
361.08 18.649
361.122 19.491
361.171 20.359
361.213 20.971
361.245 21.352
361.281 21.678
361.318 21.897
361.357 22.012
361.376 22.023
361.416 21.952
361.455 21.765
361.494 21.469
361.533 21.076
361.578 20.529
361.627 19.811
361.691 18.767
361.881 15.365
361.955 14.125
362.004 13.358
362.053 12.649
362.102 12.002
362.151 11.416
362.2 10.891
362.256 10.362
362.312 9.9036
362.368 9.508
362.424 9.1679
362.48 8.8758
362.557 8.5401
362.644 8.2317
362.731 7.9822
362.819 7.7769
362.906 7.6049
363.025 7.4092
363.209 7.171
363.393 6.9843
363.601 6.8147
363.895 6.6272
364.164 6.4921
364.532 6.3462
365.022 6.1979
365.512 6.0846
366.002 5.9947
366.799 5.8818
367.595 5.7959
369.05 5.681
370.883 5.5801
374.081 5.4611
378.215 5.3566
381.562 5.2976
386.188 5.2162
403.097 4.9915
404.531 4.9741
410.81 4.8872
420.703 4.7279
423.017 4.6872
428.824 4.5473
432.02 4.4479
434.49 4.3493
436.619 4.2379
438.257 4.1232
439.458 4.0118
440.387 3.9001
441.206 3.7734
441.861 3.6472
442.489 3.5153
442.693 3.4866
442.762 3.4838
442.864 3.4916
442.932 3.5095
443.001 3.5428
443.069 3.5983
443.12 3.6598
443.171 3.7439
443.218 3.8465
443.265 3.9793
443.307 4.1282
443.338 4.2618
443.37 4.4176
443.401 4.5983
443.432 4.8071
443.463 5.0473
443.495 5.3225
443.526 5.6364
443.557 5.993
443.588 6.3962
443.619 6.8503
443.643 7.2375
443.671 7.7187
443.698 8.247
443.725 8.8251
443.753 9.4553
443.78 10.14
443.807 10.881
443.835 11.68
443.862 12.538
443.889 13.456
443.917 14.434
443.957 16.015
443.998 17.727
444.039 19.565
444.085 21.76
444.141 24.59
444.215 28.563
444.344 35.57
444.403 38.605
444.449 40.799
